Name                          Total    Bin.1,    Bin.2,
apFAB312--apFAB901             7538      4525      3013
apFAB58--BBa_J61108            7534      4374      3160
BBa_J23102--apFAB872           7524      4492      3032
apFAB109--BBa_J61120           7517      4444      3073
BBa_J23116--apFAB904           7514      4579      2935
apFAB312--BBa_J61119           7514      4545      2969
apFAB259--apFAB833             7514      4498      3016
apFAB109--BBa_J61134           7512      4427      3085
apFAB259--BBa_J61100           7510      4623      2887
apFAB259--apFAB848             7508      4520      2988
apFAB259--BBa_J61126           7507      4560      2947
apFAB300--apFAB909             7500      4362      3138
BBa_J23115--apFAB843           7498      4424      3074
apFAB277--apFAB869             7498      4534      2964
BBa_J23108--apFAB834           7497      4485      3012
BBa_J23115--JBEI_RBS           7497      4497      3000
apFAB259--apFAB904             7492      4541      2951
apFAB277--apFAB854             7489      4492      2997
apFAB322--apFAB872             7489      4497      2992
apFAB342--apFAB869             7488      4404      3084
apFAB300--BBa_J61113           7486      4448      3038
apFAB302--apFAB903             7485      4459      3026
apFAB302--apFAB871             7466      4453      3013
BBa_J23115--apFAB910           7462      4508      2954
BBa_J23116--apFAB865           7457      4463      2994
apFAB109--apFAB904             7452      4443      3009
BBa_J23115--apFAB876           7449      4489      2960
BBa_J23113--apFAB872           7447      4385      3062
apFAB149--Invitrogen_RBS       7442      4448      2994
BBa_J23113--BBa_J61110         7431      4323      3108
apFAB48--DeadRBS               7422      4455      2967
apFAB259--apFAB917             7421      4444      2977
apFAB49--DeadRBS               7420      4359      3061
BBa_J23117--BBa_J61120         7417      4500      2917
apFAB339--apFAB903             7411      4374      3037
apFAB311--apFAB833             7392      4399      2993
apFAB312--apFAB869             7387      4424      2963
BBa_J23109--BBa_J61103         7385      4517      2868
apFAB317--BBa_J61110           7383      4402      2981
BBa_J23118--BBa_J61131         7382      4363      3019
BBa_J23115--apFAB964           7381      4408      2973
BBa_J23105--apFAB844           7366      4428      2938
apFAB124--apFAB904             7365      4427      2938
BBa_J23116--BBa_J61125         7358      4520      2838
apFAB109--BBa_J61125           7351      4334      3017
apFAB104--apFAB901             7335      4360      2975
BBa_J23117--apFAB834           7334      4479      2855
BBa_J23108--apFAB854           7331      4439      2892
BBa_J23116--BBa_J61112         7323      4496      2827
apFAB277--apFAB871             7321      4408      2913
apFAB312--apFAB843             7315      4454      2861
apFAB300--apFAB868             7310      4320      2990
BBa_J23113--apFAB871           7309      4390      2919
apFAB312--apFAB890             7308      4421      2887
BBa_J23117--apFAB964           7307      4433      2874
apFAB311--BBa_J61110           7300      4468      2832
apFAB109--apFAB909             7298      4394      2904
apFAB259--Anderson_RBS         7294      4413      2881
apFAB300--apFAB872             7290      4319      2971
apFAB55--apFAB872              7287      4328      2959
BBa_J23115--apFAB892           7287      4368      2919
BBa_J23103--BBa_J61125         7282      4300      2982
apFAB55--BBa_J61134            7280      4340      2940
apFAB124--apFAB837             7279      4370      2909
apFAB114--BBa_J61129           7276      4287      2989
apFAB342--apFAB890             7274      4267      3007
apFAB114--BBa_J61130           7270      4323      2947
apFAB300--BBa_J61133           7269      4344      2925
BBa_J23105--apFAB914           7266      4450      2816
